Country,Year,GDP,GDP_Growth,state,Inflation,ISO_Code,Real_GDP_Growth,Economic_Condition
Afghanistan,1980,3641723321,,Asia,13.4,AFG,,Unknown
Afghanistan,1981,3478787909,-4.474129351354971,Asia,22.2,AFG,-21.828256425004067,Stagflation
Afghanistan,2001,2461665937,-29.237826467333505,Asia,-43.4,AFG,25.021508008244673,Deflation
Afghanistan,2002,4055179566,64.73313884913215,Asia,51.93,AFG,8.426998518483607,Overheating
Afghanistan,2003,4515558808,11.352869447754554,Asia,35.66,AFG,-17.91768432275206,Stagflation
Afghanistan,2004,5226778808,15.750431568734435,Asia,16.36,AFG,-0.5238642413763817,Stagflation
Afghanistan,2005,6209137624,18.79472715578516,Asia,10.57,AFG,7.438479837012912,Overheating
Afghanistan,2006,6971285594,12.27461873375284,Asia,6.78,AFG,5.145737716569432,Overheating
Afghanistan,2007,9747879531,39.82900857468443,Asia,8.68,AFG,28.6612151036846,Overheating
Afghanistan,2008,10109225813,3.706921909024974,Asia,26.42,AFG,-17.966364571250615,Stagflation
Afghanistan,2009,12439087076,23.046881196420642,Asia,-6.81,AFG,32.038717884344514,Deflation
Afghanistan,2010,15856574731,27.473781911163787,Asia,2.18,AFG,24.75414162376568,Healthy Growth
Afghanistan,2011,17804292964,12.283347860696313,Asia,11.8,AFG,0.43233261242960896,Stagflation
Afghanistan,2012,20001598505,12.341436671722473,Asia,6.44,AFG,5.544378684444262,Overheating
Afghanistan,2013,20561069558,2.797131703549316,Asia,7.39,AFG,-4.276811897244337,Stagflation
Afghanistan,2014,20484885119,-0.3705276069666197,Asia,4.67,AFG,-4.815637343046353,Recession
Afghanistan,2015,19907111418,-2.8204878750533346,Asia,-0.66,AFG,-2.1748418311388407,Deflation
Afghanistan,2016,18017749073,-9.490891497656662,Asia,4.38,AFG,-13.288840292830685,Recession
Afghanistan,2017,18869945678,4.72976175629527,Asia,4.98,AFG,-0.23836754020264417,Recession
Afghanistan,2018,18353881129,-2.73484915010469,Asia,0.63,AFG,-3.343783315218807,Recession
Afghanistan,2019,19291104007,5.106401591100762,Asia,2.3,AFG,2.7433055631483683,Steady Growth
Afghanistan,2020,19807067268,2.674617589603878,Asia,5.44,AFG,-2.6227071418779557,Stagflation
Albania,1984,1857338011,,Europe,,ALB,,Unknown
Albania,1985,1897050133,2.138120350997319,Europe,,ALB,,Unknown
Albania,1986,2097326250,10.557239026850752,Europe,,ALB,,Unknown
Albania,1987,2080796250,-0.7881463363174857,Europe,,ALB,,Unknown
Albania,1988,2051236250,-1.4206100188809967,Europe,,ALB,,Unknown
Albania,1989,2253090000,9.840590034424368,Europe,,ALB,,Unknown
Albania,1990,2028553750,-9.965702657239618,Europe,-0.2,ALB,-9.785273203646916,Deflation
Albania,1991,1099559027,-45.79591361579648,Europe,35.7,ALB,-60.05594223713815,Stagflation
Albania,1992,652174990,-40.687587115775635,Europe,226.0,ALB,-81.80600831772259,Hyperinflation
Albania,1993,1185315468,81.74807163335105,Europe,85.0,ALB,-1.7577991171075502,Stagflation
Albania,1994,1880951520,58.687840560602545,Europe,22.6,ALB,29.435432757424596,Overheating
Albania,1995,2392764853,27.210341550961402,Europe,7.8,ALB,18.005882700335253,Overheating
Albania,1996,3199642579,33.72156377958968,Europe,12.7,ALB,18.65267416112659,Overheating
Albania,1997,2258515610,-29.413503094903028,Europe,33.2,ALB,-47.0071344556329,Stagflation
Albania,1998,2545967253,12.72745876660113,Europe,20.6,ALB,-6.527811967992426,Stagflation
Albania,1999,3212119044,26.164978760628223,Europe,0.4,ALB,25.6623294428568,Healthy Growth
Albania,2000,3480355188,8.350753515846353,Europe,0.0,ALB,8.350753515846353,Healthy Growth
Albania,2001,3922099470,12.692505739733129,Europe,3.1,ALB,9.304079281991395,Healthy Growth
Albania,2002,4348070165,10.860782554298654,Europe,5.2,ALB,5.380972009789597,Overheating
Albania,2003,5611492282,29.05707748623694,Europe,2.4,ALB,26.032302232653247,Healthy Growth
Albania,2004,7184681398,28.035129283636785,Europe,2.9,ALB,24.426753434049363,Healthy Growth
Albania,2005,8052075642,12.072828229258104,Europe,2.4,ALB,9.44612131763487,Healthy Growth
Albania,2006,8896073938,10.481748228961795,Europe,2.4,ALB,7.892332254845491,Healthy Growth
Albania,2007,10677321490,20.022850129328585,Europe,3.0,ALB,16.527038960513195,Healthy Growth
Albania,2008,12881354103,20.642186479672997,Europe,3.3,ALB,16.78817665021588,Healthy Growth
Albania,2009,12044223352,-6.498779121404919,Europe,2.2,ALB,-8.511525559104616,Recession
Albania,2010,11926928505,-0.9738680824158186,Europe,3.6,ALB,-4.414930581482457,Recession
Albania,2011,12890765324,8.081182163504552,Europe,3.4,ALB,4.527255477277126,Healthy Growth
Albania,2012,12319830252,-4.429023860492087,Europe,2.0,ALB,-6.302964569109893,Recession
Albania,2013,12776217194,3.7044905056699884,Europe,1.9,ALB,1.7708444609126683,Steady Growth
Albania,2014,13228144008,3.5372505581091396,Europe,1.6,ALB,1.9067426753042627,Steady Growth
